Gene	p_value
ENSMUSG00000045613	0.005486468814295929
ENSMUSG00000043557	0.04578573939321514
ENSMUSG00000042045	0.00010157931013256248
ENSMUSG00000028909	0.008400790531794279
ENSMUSG00000031492	0.0009853069633661176
ENSMUSG00000079173	0.0034371812421016487
ENSMUSG00000057604	9.281042468579826e-05
ENSMUSG00000017491	0.007961761807635803
ENSMUSG00000029334	6.821624372346834e-05
ENSMUSG00000045991	0.0010381321929516943
ENSMUSG00000043850	1.0708124188906944e-05
ENSMUSG00000024565	0.005257907359562183
ENSMUSG00000020963	0.017402390813825663
ENSMUSG00000042353	0.003497349828955747
ENSMUSG00000028358	0.0010314042381540068
ENSMUSG00000022665	0.038948821133421505
ENSMUSG00000029338	0.000710311968926384
ENSMUSG00000031212	0.0011780071312463831
ENSMUSG00000091345	0.011244758747765605
ENSMUSG00000028172	0.0004907255105805352
ENSMUSG00000046922	0.0006145202379942704
ENSMUSG00000026751	6.850914078151387e-05
ENSMUSG00000027360	0.01648624404776761
ENSMUSG00000026355	0.003308119805940128
ENSMUSG00000023367	5.239632279367896e-05
ENSMUSG00000055214	0.0002260645659657232
ENSMUSG00000034997	0.0007659490479297312
ENSMUSG00000098097	0.019397982795446567
ENSMUSG00000000861	0.00011711038955209185
ENSMUSG00000075270	0.00016054687950083066
ENSMUSG00000054360	0.04856700171536462
ENSMUSG00000019913	0.008843385704074901
ENSMUSG00000026678	0.00010909963215266724
ENSMUSG00000059857	0.000954347063611181
ENSMUSG00000053965	0.00011142745685935355
ENSMUSG00000074637	0.0006641446890398679
ENSMUSG00000048583	0.03730781413804875
ENSMUSG00000029151	0.0039208387854265106
ENSMUSG00000046178	0.00044198762458081087
ENSMUSG00000003545	0.00013865387561580943
ENSMUSG00000028197	0.0004115494615968795
ENSMUSG00000059325	0.0015384158400016258
ENSMUSG00000017897	0.0002017926668406221
ENSMUSG00000090061	1.6453143966622552e-05
ENSMUSG00000004655	0.003600057340660786
ENSMUSG00000047591	0.037409543414611876
ENSMUSG00000044017	0.0010221543607246515
ENSMUSG00000062209	0.0012163944008062174
ENSMUSG00000022705	0.04654732679242833
ENSMUSG00000033502	0.001050263023613406
ENSMUSG00000029754	0.0008296774445093414
ENSMUSG00000003379	0.0002604840106265995
ENSMUSG00000021702	0.0004599480555332329
